threads,total sec,mean millis,ops/sec,p0.5 millis,p0.75 millis,p0.99 millis,p0.999 millis,p0.9999 millis
1,16.0,0.001,313087,0.001,0.001,0.002,0.026,0.043
4,10.3,0.003,484355,0.002,0.003,0.019,0.033,0.063
8,9.4,0.005,533560,0.004,0.004,0.010,0.026,0.039
16,12.0,0.007,418235,0.005,0.006,0.016,0.026,0.041
32,12.8,0.007,390381,0.005,0.006,0.017,0.031,0.053
50,13.1,0.007,381562,0.005,0.006,0.018,0.035,0.074
100,13.0,0.007,384408,0.005,0.006,0.016,0.033,0.557
160,12.7,0.006,394228,0.005,0.006,0.013,0.024,0.041
200,12.8,0.006,390320,0.004,0.005,0.012,0.024,0.039
